Algorithm,Run,Steps,Iterations,Simulations,Total simulations,Evaluations,Positive Evaluations,Tree Size,Time (s),Memory (MB),Solution
Parallel Flat Monte Carlo,1,38,None,100,3700,3700,3700,0,3.8982,0.7803,"['AAFMFramework', 'Metamodels', 'Interoperability', 'SPLOT', 'CNFModel', 'FeatureModel', 'DecisionModel', 'Packages', 'ParserTechnology', 'Utils', 'larkparser', 'APISolvers', 'pybind11', 'satyrn', 'pycryptosat', 'UVL', 'FeatureIDE', 'antlr4python3runtime', 'System', 'ebnf', 'satispy', 'six', 'pythonsat', 'pycosat', 'pyPicosat', 'pyglucose', 'DepMng', 'pip', 'Linux', 'umo', 'SimpleParse', 'setuptools', 'pipdeptree', 'pydepqbf', 'pkgresources', 'AutomatedReasoning', 'Solvers', 'PicoSAT']"
Parallel Flat Monte Carlo,2,38,None,100,3700,3700,3700,0,4.1315,0.8697,"['AAFMFramework', 'Packages', 'APISolvers', 'umo', 'pyPicosat', 'pythonsat', 'pycosat', 'satispy', 'AutomatedReasoning', 'satyrn', 'Metamodels', 'DecisionModel', 'CNFModel', 'DepMng', 'pylgl', 'wheel', 'Utils', 'pkgresources', 'setuptools', 'pip', 'Operations', 'ErrorDiagnosis', 'pipdeptree', 'System', 'ValidProduct', 'six', 'pyglucose', 'CoreFeatures', 'FeatureModel', 'ParserTechnology', 'antlr4python3runtime', 'pybind11', 'Linux', 'ValidModel', 'pydepqbf', 'larkparser', 'Solvers', 'Glucose']"
Parallel Flat Monte Carlo,3,41,None,100,4000,4000,4000,0,4.5165,0.9696,"['AAFMFramework', 'Packages', 'Interoperability', 'ParserTechnology', 'APISolvers', 'pythonsat', 'pyglucose', 'FeatureIDE', 'Utils', 'pycryptosat', 'larkparser', 'Metamodels', 'satispy', 'six', 'FeatureModel', 'UVL', 'pyPicosat', 'pybind11', 'umo', 'AutomatedReasoning', 'DepMng', 'satyrn', 'DecisionModel', 'SimpleParse', 'pkgresources', 'pydepqbf', 'setuptools', 'System', 'pylgl', 'pycosat', 'pip', 'ebnf', 'Linux', 'pipdeptree', 'Operations', 'AllProducts', 'CNFModel', 'ValidModel', 'wheel', 'Solvers', 'CryptoMiniSat']"
Parallel Flat Monte Carlo,4,46,None,100,4500,4500,4500,0,4.9835,1.0681,"['AAFMFramework', 'System', 'Linux', 'Packages', 'APISolvers', 'DepMng', 'pip', 'Utils', 'AutomatedReasoning', 'pythonsat', 'six', 'pkgresources', 'satyrn', 'setuptools', 'satispy', 'pipdeptree', 'Metamodels', 'ParserTechnology', 'pyglucose', 'Solvers', 'pycryptosat', 'DecisionModel', 'CBC', 'pylgl', 'antlr4python3runtime', 'pyPicosat', 'Glucose', 'Lingeling', 'CNFModel', 'larkparser', 'pycosat', 'MiniSAT', 'Maple', 'Minicard', 'FeatureModel', 'SimpleParse', 'PicoSAT', 'pydepqbf', 'Interoperability', 'FeatureIDE', 'SPLOT', 'wheel', 'CryptoMiniSat', 'UVL', 'umo', 'pybind11']"
Parallel Flat Monte Carlo,5,6,None,100,500,500,500,0,0.6354,1.0683,"['AAFMFramework', 'System', 'Interoperability', 'Linux', 'Metamodels', 'FeatureIDE']"
Parallel Flat Monte Carlo,6,45,None,100,4400,4400,4400,0,5.4016,1.1848,"['AAFMFramework', 'Packages', 'System', 'Linux', 'DepMng', 'AutomatedReasoning', 'pip', 'Solvers', 'APISolvers', 'CryptoMiniSat', 'setuptools', 'pkgresources', 'Utils', 'Interoperability', 'pycosat', 'PicoSAT', 'Lingeling', 'UVL', 'CBC', 'pycryptosat', 'six', 'umo', 'Operations', 'ErrorDiagnosis', 'ValidConfiguration', 'pybind11', 'CaDiCaL', 'AllProducts', 'ValidProduct', 'pythonsat', 'MiniSAT', 'DeadFeatures', 'pipdeptree', 'ErrorDetection', 'FeatureIDE', 'pydepqbf', 'Minicard', 'pyglucose', 'Metamodels', 'Maple', 'ParserTechnology', 'DecisionModel', 'SPLOT', 'CNFModel', 'antlr4python3runtime']"
Parallel Flat Monte Carlo,7,47,None,100,4600,4600,4600,0,5.4876,1.2841,"['AAFMFramework', 'AutomatedReasoning', 'Metamodels', 'DecisionModel', 'Packages', 'CNFModel', 'System', 'Operations', 'Utils', 'FeatureModel', 'CoreFeatures', 'ErrorDetection', 'ErrorDiagnosis', 'DepMng', 'DeadFeatures', 'ValidConfiguration', 'pkgresources', 'ValidProduct', 'Linux', 'Interoperability', 'pybind11', 'Solvers', 'six', 'CBC', 'ValidModel', 'AllProducts', 'Glucose', 'MiniSAT', 'wheel', 'APISolvers', 'ParserTechnology', 'SimpleParse', 'setuptools', 'DepQBF', 'CaDiCaL', 'pydepqbf', 'pip', 'antlr4python3runtime', 'umo', 'pyglucose', 'pyPicosat', 'satyrn', 'larkparser', 'satispy', 'pythonsat', 'ebnf', 'UVL']"
Parallel Flat Monte Carlo,8,47,None,100,4600,4600,4600,0,5.5395,1.3787,"['AAFMFramework', 'Interoperability', 'Packages', 'AutomatedReasoning', 'System', 'Linux', 'ParserTechnology', 'DepMng', 'wheel', 'pkgresources', 'UVL', 'FeatureIDE', 'antlr4python3runtime', 'SPLOT', 'setuptools', 'Solvers', 'DepQBF', 'APISolvers', 'CaDiCaL', 'Utils', 'Glucose', 'pycryptosat', 'pyglucose', 'SimpleParse', 'umo', 'pip', 'pydepqbf', 'pylgl', 'six', 'pycosat', 'pybind11', 'pyPicosat', 'pipdeptree', 'satispy', 'CBC', 'Maple', 'Minicard', 'Lingeling', 'pythonsat', 'CryptoMiniSat', 'MiniSAT', 'larkparser', 'satyrn', 'PicoSAT', 'Metamodels', 'FeatureModel', 'CNFModel']"
Parallel Flat Monte Carlo,9,50,None,100,4900,4900,4900,0,5.829,1.5006,"['AAFMFramework', 'Interoperability', 'AutomatedReasoning', 'Operations', 'FeatureIDE', 'ErrorDiagnosis', 'Solvers', 'ValidConfiguration', 'MiniSAT', 'DepQBF', 'Packages', 'DepMng', 'Lingeling', 'PicoSAT', 'CoreFeatures', 'Metamodels', 'DeadFeatures', 'ValidModel', 'UVL', 'System', 'CryptoMiniSat', 'Glucose', 'Maple', 'pip', 'setuptools', 'Utils', 'Minicard', 'APISolvers', 'pylgl', 'pythonsat', 'pyglucose', 'FeatureModel', 'ErrorDetection', 'CaDiCaL', 'ParserTechnology', 'ValidProduct', 'wheel', 'larkparser', 'Win', 'ebnf', 'pycryptosat', 'antlr4python3runtime', 'pydepqbf', 'SPLOT', 'satyrn', 'CNFModel', 'SimpleParse', 'pycosat', 'six', 'pybind11']"
Parallel Flat Monte Carlo,10,41,None,100,4000,4000,4000,0,4.7818,1.5928,"['AAFMFramework', 'Interoperability', 'UVL', 'System', 'Metamodels', 'CNFModel', 'Packages', 'SPLOT', 'Utils', 'DecisionModel', 'pybind11', 'FeatureIDE', 'APISolvers', 'pyPicosat', 'DepMng', 'AutomatedReasoning', 'pyglucose', 'pkgresources', 'setuptools', 'pylgl', 'FeatureModel', 'six', 'satyrn', 'Operations', 'pycryptosat', 'pip', 'ErrorDetection', 'ValidConfiguration', 'ErrorDiagnosis', 'umo', 'ParserTechnology', 'antlr4python3runtime', 'pythonsat', 'ValidModel', 'ValidProduct', 'wheel', 'satispy', 'Linux', 'pydepqbf', 'Solvers', 'CaDiCaL']"
