Algorithm,Run,Steps,Iterations,Simulations,Total simulations,Evaluations,Positive Evaluations,Tree Size,Time (s),Memory (MB),Solution
Greedy MCTS,1,16,None,100,1600,1600,1600,1600,7.2637,25.1479,"['TankWar', 'AI', 'Soundeffekt', 'Platform', 'Record', 'Re_fuer_Handy', 'Language', 'DE', 'Handy', 'GUI', 'Map', 'Hard', 'Tanks', 'M_780', 'Sound_fuer_Handy', 'Germany_Leopard']"
Greedy MCTS,2,15,None,100,1500,1500,1500,1500,6.5838,24.7411,"['TankWar', 'Record', 'Platform', 'Tanks', 'Language', 'AI', 'Re_fuer_PC', 'explodieren', 'Easy', 'GUI', 'DE', 'Map', 'M_240', 'PC', 'Germany_Leopard']"
Greedy MCTS,3,14,None,100,1400,1400,1400,1400,5.707,22.956,"['TankWar', 'AI', 'Language', 'Soundeffekt', 'Sound_fuer_pc', 'DE', 'Tanks', 'Germany_Leopard', 'GUI', 'Platform', 'Map', 'Handy', 'M_600', 'Easy']"
Greedy MCTS,4,14,None,100,1400,1400,1400,1400,4.9554,24.7796,"['TankWar', 'Platform', 'AI', 'GUI', 'Language', 'PC', 'Map', 'Hard', 'Tanks', 'M_240', 'DE', 'Record', 'Re_fuer_Handy', 'Germany_Leopard']"
Greedy MCTS,5,12,None,100,1200,1200,1200,1200,4.5337,22.6445,"['TankWar', 'AI', 'Platform', 'GUI', 'Map', 'Tanks', 'Language', 'China_Type99', 'DE', 'Hard', 'Handy', 'M_600']"
Greedy MCTS,6,13,None,100,1300,1300,1300,1300,5.1134,21.5978,"['TankWar', 'AI', 'GUI', 'explodieren', 'Language', 'EN', 'Platform', 'Tanks', 'Germany_Leopard', 'Hard', 'Map', 'M_240', 'PC']"
Greedy MCTS,7,13,None,100,1300,1300,1300,1300,5.2595,22.7651,"['TankWar', 'Tanks', 'AI', 'Language', 'Platform', 'GUI', 'Handy', 'explodieren', 'Map', 'China_Type99', 'Hard', 'EN', 'M_240']"
Greedy MCTS,8,12,None,100,1200,1200,1200,1200,4.2704,22.1885,"['TankWar', 'Platform', 'AI', 'Easy', 'GUI', 'Tanks', 'Map', 'Language', 'EN', 'PC', 'M_600', 'USA_M1Abrams']"
Greedy MCTS,9,14,None,100,1400,1400,1400,1400,5.8787,23.3321,"['TankWar', 'Platform', 'Soundeffekt', 'Handy', 'Language', 'AI', 'GUI', 'Sound_fuer_Handy', 'Map', 'Tanks', 'EN', 'Easy', 'USA_M1Abrams', 'M_240']"
Greedy MCTS,10,12,None,100,1200,1200,1200,1200,4.589,20.7519,"['TankWar', 'Language', 'GUI', 'Platform', 'DE', 'Handy', 'AI', 'Map', 'M_780', 'Hard', 'Tanks', 'Germany_Leopard']"
Greedy MCTS,11,15,None,100,1500,1500,1500,1500,6.6107,22.9996,"['TankWar', 'Platform', 'Handy', 'Language', 'Record', 'Re_fuer_PC', 'explodieren', 'DE', 'AI', 'GUI', 'Map', 'Hard', 'Tanks', 'Germany_Leopard', 'M_600']"
Greedy MCTS,12,14,None,100,1400,1400,1400,1400,5.3323,23.6247,"['TankWar', 'Language', 'AI', 'Easy', 'Record', 'Re_fuer_PC', 'GUI', 'Map', 'Tanks', 'Platform', 'PC', 'M_600', 'DE', 'USA_M1Abrams']"
Greedy MCTS,13,12,None,100,1200,1200,1200,1200,4.0013,22.9394,"['TankWar', 'Platform', 'GUI', 'AI', 'Map', 'Language', 'EN', 'Tanks', 'Handy', 'Easy', 'M_600', 'Germany_Leopard']"
Greedy MCTS,14,14,None,100,1400,1400,1400,1400,6.0872,23.4356,"['TankWar', 'Soundeffekt', 'Platform', 'Sound_fuer_Handy', 'AI', 'PC', 'GUI', 'Map', 'M_780', 'Language', 'Tanks', 'Hard', 'USA_M1Abrams', 'DE']"
